"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2020","27,231.13","27,194.79","27,340.99","27,163.51","2.05B","0.31%"
"12/30/2020","27,147.11","26,695.11","27,159.47","26,670.97","2.55B","2.18%"
"12/29/2020","26,568.49","26,490.45","26,618.78","26,432.91","2.30B","0.96%"
"12/28/2020","26,314.63","26,288.37","26,514.08","26,264.32","2.67B","-0.27%"
"12/24/2020","26,386.56","26,342.87","26,470.40","26,221.30","1.30B","0.16%"
"12/23/2020","26,343.10","26,083.11","26,343.10","26,071.76","2.01B","0.86%"
"12/22/2020","26,119.25","26,260.78","26,365.20","25,998.87","1.75B","-0.71%"
"12/21/2020","26,306.68","26,422.62","26,498.65","26,274.65","2.04B","-0.72%"
"12/18/2020","26,498.60","26,650.49","26,668.10","26,363.05","3.08B","-0.67%"
"12/17/2020","26,678.38","26,608.44","26,678.38","26,390.59","2.26B","0.82%"
"12/16/2020","26,460.29","26,421.21","26,510.19","26,318.74","2.04B","0.97%"
"12/15/2020","26,207.29","26,418.93","26,436.04","26,127.68","2.59B","-0.69%"
"12/14/2020","26,389.52","26,522.10","26,544.12","26,318.11","2.21B","-0.44%"
"12/11/2020","26,505.87","26,634.21","26,704.01","26,443.01","2.50B","0.36%"
"12/10/2020","26,410.59","26,335.26","26,434.47","26,287.02","2.00B","-0.35%"
"12/09/2020","26,502.84","26,510.42","26,666.94","26,445.66","2.54B","0.75%"
"12/08/2020","26,304.56","26,460.35","26,460.35","26,270.91","2.54B","-0.76%"
"12/07/2020","26,506.85","26,870.58","26,870.58","26,256.40","2.81B","-1.23%"
"12/04/2020","26,835.92","26,811.59","26,835.92","26,652.34","3.21B","0.40%"
"12/03/2020","26,728.50","26,623.42","26,781.99","26,556.02","2.83B","0.74%"
"12/02/2020","26,532.58","26,670.12","26,670.12","26,379.48","3.70B","-0.13%"
"12/01/2020","26,567.68","26,422.71","26,662.18","26,375.24","3.56B","0.86%"
"11/30/2020","26,341.49","26,853.39","26,960.93","26,322.68","5.74B","-2.06%"
"11/27/2020","26,894.68","26,758.49","27,009.15","26,704.60","2.73B","0.28%"
"11/26/2020","26,819.45","26,695.25","26,819.45","26,612.00","1.98B","0.56%"
"11/25/2020","26,669.75","26,819.96","27,040.41","26,591.30","2.86B","0.31%"
"11/24/2020","26,588.20","26,630.34","26,630.34","26,409.77","2.01B","0.39%"
"11/23/2020","26,486.20","26,659.79","26,662.66","26,369.34","2.24B","0.13%"
"11/20/2020","26,451.54","26,406.87","26,564.25","26,313.28","2.15B","0.36%"
"11/19/2020","26,356.97","26,460.61","26,460.61","26,311.64","2.41B","-0.71%"
"11/18/2020","26,544.29","26,434.24","26,618.01","26,344.86","2.29B","0.49%"
"11/17/2020","26,415.09","26,515.09","26,530.54","26,339.88","2.39B","0.13%"
"11/16/2020","26,381.67","26,362.07","26,394.40","26,191.54","2.09B","0.86%"
"11/13/2020","26,156.86","26,114.60","26,156.86","25,909.18","2.44B","-0.05%"
"11/12/2020","26,169.38","26,409.34","26,460.94","26,071.15","2.68B","-0.22%"
"11/11/2020","26,226.98","26,226.80","26,432.56","26,168.63","4.12B","-0.28%"
"11/10/2020","26,301.48","26,474.04","26,474.04","26,041.87","3.85B","1.10%"
"11/09/2020","26,016.17","26,157.77","26,172.23","25,950.41","2.35B","1.18%"
"11/06/2020","25,712.97","25,750.78","25,799.97","25,540.98","2.37B","0.07%"
"11/05/2020","25,695.92","25,500.91","25,695.92","25,343.44","2.62B","3.25%"
"11/04/2020","24,886.14","24,790.00","25,093.72","24,733.23","2.31B","-0.21%"
"11/03/2020","24,939.73","24,689.56","25,048.53","24,689.51","2.24B","1.96%"
"11/02/2020","24,460.01","24,274.83","24,486.02","24,232.66","2.36B","1.46%"
"10/30/2020","24,107.42","24,535.90","24,600.54","24,029.95","2.54B","-1.95%"
