"Date","Price","Open","High","Low","Vol.","Change %"
"05/25/2020","71.5750","71.6505","71.8895","71.1802","","0.17%"
"05/22/2020","71.4500","70.9744","72.1668","70.8325","","0.90%"
"05/21/2020","70.8152","71.1205","71.5205","70.5973","","-0.27%"
"05/20/2020","71.0046","72.5100","72.7270","71.0446","","-2.06%"
"05/19/2020","72.4985","72.7245","72.8603","72.2026","","-0.21%"
"05/18/2020","72.6510","73.8318","73.9206","72.5614","","-0.91%"
"05/15/2020","73.3170","73.5085","74.0574","73.0003","","-0.09%"
"05/14/2020","73.3862","74.0242","74.5303","73.4179","","-0.70%"
"05/13/2020","73.9033","73.6913","74.3359","73.0838","","0.40%"
"05/12/2020","73.6075","73.6900","73.9125","72.9663","","0.11%"
"05/11/2020","73.5265","73.4063","74.0053","73.0798","","0.28%"
"05/08/2020","73.3200","74.0944","74.4178","73.0981","","-0.86%"
"05/07/2020","73.9525","74.5382","74.7545","73.5773","","-0.59%"
"05/06/2020","74.3915","73.7335","75.0590","73.3268","","1.25%"
"05/05/2020","73.4700","74.7963","75.0498","73.5126","","-1.66%"
"05/04/2020","74.7130","75.3615","75.9980","74.6928","","-0.66%"
"05/01/2020","75.2075","74.3750","75.8500","74.1531","","1.24%"
"04/30/2020","74.2900","73.0556","74.6741","72.6138","","1.84%"
"04/29/2020","72.9512","74.1225","74.4185","72.9783","","-1.55%"
"04/28/2020","74.1008","74.3701","74.9453","73.7800","","-0.12%"
"04/27/2020","74.1869","74.5450","74.9113","74.0107","","-0.29%"
"04/24/2020","74.4000","74.8492","75.1900","73.9564","","-0.45%"
"04/23/2020","74.7390","75.9775","76.1970","74.2207","","-1.43%"
"04/22/2020","75.8260","77.3363","77.7745","75.8000","","-1.60%"
"04/21/2020","77.0602","75.5201","77.6935","75.1563","","2.16%"
"04/20/2020","75.4340","74.0500","75.6678","73.9479","","2.16%"
"04/17/2020","73.8425","74.0680","74.4611","73.0289","","-0.14%"
"04/16/2020","73.9437","74.8522","75.1413","73.7330","","-1.03%"
"04/15/2020","74.7126","73.1750","75.4140","72.7874","","2.44%"
"04/14/2020","72.9303","73.6808","73.7845","72.7227","","-0.94%"
"04/13/2020","73.6200","73.5862","74.0838","72.8837","","0.24%"
"04/10/2020","73.4430","74.2975","74.6147","73.1524","","-0.96%"
"04/09/2020","74.1566","75.1028","75.3548","72.7085","","-1.07%"
"04/08/2020","74.9598","75.5305","75.9814","74.8800","","-0.56%"
"04/07/2020","75.3800","76.0437","76.1560","75.1630","","-0.73%"
"04/06/2020","75.9362","76.8375","77.4862","75.9031","","-0.60%"
"04/03/2020","76.3925","77.2384","78.0150","76.4263","","-0.84%"
"04/02/2020","77.0425","78.6517","79.3099","77.1318","","-2.00%"
"04/01/2020","78.6126","78.4904","79.4203","78.3238","","0.25%"
"03/31/2020","78.4190","79.4631","79.8640","77.6702","","-1.02%"
"03/30/2020","79.2280","79.0475","80.4947","78.9961","","0.67%"
"03/27/2020","78.7000","77.4170","79.3463","77.1394","","1.89%"
"03/26/2020","77.2428","78.2675","79.1050","76.9847","","-1.26%"
"03/25/2020","78.2310","78.3310","79.4734","76.9670","","0.03%"
"03/24/2020","78.2050","79.4545","79.6553","78.1275","","-1.28%"
"03/23/2020","79.2190","79.7995","81.4065","79.2794","","-0.67%"
"03/20/2020","79.7523","79.1505","80.2355","77.4115","","0.88%"
"03/19/2020","79.0575","80.8500","82.2984","78.5167","","-2.01%"
"03/18/2020","80.6800","75.4145","82.9810","74.8032","","7.22%"
"03/17/2020","75.2492","74.4400","75.5560","73.3805","","1.13%"
"03/16/2020","74.4050","72.1146","75.4695","72.0548","","2.96%"
"03/13/2020","72.2650","74.9075","75.1488","72.0400","","-3.50%"
"03/12/2020","74.8850","73.2355","75.5394","72.7284","","2.33%"
"03/11/2020","73.1790","71.3763","73.2703","70.5390","","2.56%"
"03/10/2020","71.3500","74.7804","75.0476","70.6747","","-4.46%"
"03/09/2020","74.6800","70.4917","75.4900","70.4667","","8.96%"
"03/06/2020","68.5400","67.5667","68.6328","67.2790","","1.46%"
"03/05/2020","67.5540","66.2725","67.7882","65.9798","","2.02%"
"03/04/2020","66.2150","66.1275","66.5494","65.5085","","0.20%"
"03/03/2020","66.0820","66.1595","66.6769","65.3279","","-0.11%"
"03/02/2020","66.1550","66.8450","67.3303","66.0910","","-0.82%"
"02/28/2020","66.7027","66.2660","67.6611","66.2655","","0.68%"
"02/27/2020","66.2500","65.4275","66.4210","65.3717","","1.31%"
"02/26/2020","65.3925","65.3150","65.7253","64.9613","","0.14%"
"02/25/2020","65.3000","65.3495","65.6062","64.6885","","-0.06%"
"02/24/2020","65.3380","64.0612","65.8653","64.0612","","1.99%"
"02/21/2020","64.0603","64.1502","64.5703","63.8933","","-0.13%"
"02/20/2020","64.1409","63.5750","64.3075","63.4998","","1.00%"
"02/19/2020","63.5050","63.8683","63.9707","63.4508","","-0.53%"
"02/18/2020","63.8458","63.5000","64.2070","63.4343","","0.64%"
"02/17/2020","63.4375","63.5625","63.5833","63.2050","","-0.09%"
"02/14/2020","63.4950","63.6957","63.7213","63.3813","","-0.23%"
"02/13/2020","63.6415","63.2312","63.7913","63.1998","","0.70%"
"02/12/2020","63.1975","63.4226","63.4341","62.9095","","-0.25%"
"02/11/2020","63.3560","64.0952","64.1378","63.2430","","-1.15%"
"02/10/2020","64.0905","64.1985","64.3212","63.6463","","-0.08%"
"02/07/2020","64.1400","63.2891","64.2428","63.2160","","1.30%"
"02/06/2020","63.3150","62.8750","63.4326","62.6154","","0.71%"
"02/05/2020","62.8700","63.0275","63.2920","62.5500","","-0.23%"
"02/04/2020","63.0125","63.6750","63.7401","62.8368","","-1.02%"
"02/03/2020","63.6615","63.9737","64.1060","63.4200","","-0.45%"
"01/31/2020","63.9512","63.2000","64.0235","63.0475","","1.29%"
"01/30/2020","63.1338","62.5500","63.5162","62.4981","","0.99%"
"01/29/2020","62.5120","62.2392","62.8298","62.1955","","0.49%"
"01/28/2020","62.2050","62.9751","63.1428","62.2023","","-1.16%"
"01/27/2020","62.9356","62.2413","63.1200","62.1642","","1.41%"
"01/24/2020","62.0576","61.8705","62.2962","61.7170","","0.32%"
"01/23/2020","61.8569","61.8685","62.1036","61.8305","","0.05%"
"01/22/2020","61.8275","61.8648","62.0755","61.7570","","-0.06%"
"01/21/2020","61.8650","61.5700","61.9734","61.5498","","0.54%"
"01/20/2020","61.5320","61.5825","61.6500","61.3784","","-0.04%"
"01/17/2020","61.5559","61.6238","61.7187","61.2875","","-0.07%"
"01/16/2020","61.5990","61.4200","61.7733","61.3271","","0.32%"
"01/15/2020","61.4000","61.4250","61.7875","61.3296","","0.02%"
"01/14/2020","61.3895","61.2250","61.5325","61.1110","","0.28%"
"01/13/2020","61.2160","61.0200","61.4013","60.8813","","0.33%"
"01/10/2020","61.0137","61.2750","61.3900","60.8772","","-0.41%"
"01/09/2020","61.2675","61.2665","61.4254","61.1131","","0.08%"
"01/08/2020","61.2175","61.9555","62.1480","61.0708","","-1.14%"
"01/07/2020","61.9255","61.7786","62.1278","61.5873","","0.26%"
"01/06/2020","61.7636","62.1146","62.3553","61.7335","","-0.49%"
"01/03/2020","62.0700","61.7025","62.2450","61.6785","","0.66%"
"01/02/2020","61.6650","61.9472","62.2087","61.5570","","-0.43%"
"01/01/2020","61.9322","61.9341","61.9472","61.9341","","0.02%"
