Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-01-29,24.543515411583154,24.543515411583154,24.421408369734483,24.526071548461914,1003200,29,4,4,1,1993
1993-02-01,24.543519048367518,24.70051383972168,24.543519048367518,24.70051383972168,480500,1,0,5,2,1993
1993-02-02,24.683062692525272,24.770281995325714,24.630731110845005,24.752838134765625,201300,2,1,5,2,1993
1993-02-03,24.787729444197865,25.03194352739193,24.770285581112574,25.01449966430664,529400,3,2,5,2,1993
1993-02-04,25.10171202553643,25.171487458546956,24.82261029349433,25.119155883789062,531500,4,3,5,2,1993
1993-02-05,25.10171890258789,25.15405049168293,24.96216799833445,25.10171890258789,492100,5,4,5,2,1993
1993-02-08,25.10171890258789,25.188938217746294,25.06683117652453,25.10171890258789,596100,8,0,6,2,1993
1993-02-09,25.014507397811172,25.014507397811172,24.87495644998517,24.927288055419922,122100,9,1,6,2,1993
1993-02-10,24.927274300117414,24.979605876674693,24.857498864707708,24.962162017822266,379600,10,2,6,2,1993
1993-02-11,24.99706258229984,25.188945128290975,24.99706258229984,25.08428192138672,19500,11,3,6,2,1993
1993-02-12,25.049397479928118,25.049397479928118,24.89240264892578,24.89240264892578,42500,12,4,6,2,1993
1993-02-16,24.822629166197896,24.822629166197896,24.229537534679466,24.26442527770996,374800,16,1,7,2,1993
1993-02-17,24.26443599042275,24.29932374885614,24.159772715122582,24.246992111206055,210900,17,2,7,2,1993
1993-02-18,24.526074131415676,24.526074131415676,23.898094992915702,24.229528427124023,378100,18,3,7,2,1993
1993-02-19,24.22953974396803,24.31675910949707,24.194651997756413,24.31675910949707,34900,19,4,7,2,1993
1993-02-22,24.386523038851866,24.438854633355838,24.316747579513233,24.403966903686523,513600,22,0,8,2,1993
1993-02-23,24.473753099618893,24.49119697210615,24.26442662977183,24.386533737182617,373700,23,1,8,2,1993
1993-02-24,24.40396812271937,24.70051383972168,24.40396812271937,24.70051383972168,26300,24,2,8,2,1993
1993-02-25,24.683062692525272,24.770281995325714,24.630731110845005,24.752838134765625,44500,25,3,8,2,1993
1993-02-26,24.80517885233633,24.80517885233633,24.665627916458206,24.787734985351562,66200,26,4,8,2,1993
1993-03-01,24.87493981016128,24.87493981016128,24.683057385258213,24.717945098876953,66500,1,0,9,3,1993
1993-03-02,24.735404565039197,25.08428192138672,24.700516829404446,25.08428192138672,182400,2,1,9,3,1993
1993-03-03,25.119160786890255,25.20638009517807,25.08427306357513,25.188936233520508,280100,3,2,9,3,1993
1993-03-04,25.22382368549995,25.22382368549995,25.04938507080078,25.04938507080078,89500,4,3,9,3,1993
1993-03-05,25.084267869341975,25.18893101761461,24.962160863023897,24.979604721069336,40000,5,4,9,3,1993
1993-03-08,25.03194307368961,25.53781509399414,25.03194307368961,25.53781509399414,50800,8,0,10,3,1993
1993-03-09,25.48549122120764,25.502935089257747,25.3982718809571,25.450603485107422,169300,9,1,10,3,1993
1993-03-10,25.45060380473835,25.5029354095459,25.34594059512325,25.5029354095459,194400,10,2,10,3,1993
1993-03-11,25.520383953884632,25.590159439746245,25.39827685362681,25.433164596557617,70900,11,3,10,3,1993
1993-03-12,25.22382894028249,25.241272805386423,25.014502559035336,25.171497344970703,643600,12,4,10,3,1993
1993-03-15,25.1540472885658,25.293598175048828,25.1540472885658,25.293598175048828,310800,15,0,11,3,1993
1993-03-16,25.293598175048828,25.363373618290343,25.293598175048828,25.293598175048828,30800,16,1,11,3,1993
1993-03-17,25.25872475533416,25.25872475533416,25.10172991914769,25.13661766052246,21800,17,2,11,3,1993
1993-03-18,25.24126659261769,25.398261339911098,25.24126659261769,25.293598175048828,59300,18,3,11,3,1993
1993-03-19,25.395542983955842,25.395542983955842,25.255332946777344,25.255332946777344,66900,19,4,11,3,1993
1993-03-22,25.009970016106806,25.167706337161437,24.992443758211845,25.115127563476562,183400,22,0,12,3,1993
1993-03-23,25.1852279758719,25.202754230552397,25.132649211830415,25.167701721191406,55200,23,1,12,3,1993
1993-03-24,25.132649211830415,25.27285924927438,25.00996542906695,25.167701721191406,37200,24,2,12,3,1993
1993-03-25,25.18521992376519,25.378008663613077,25.150167425611027,25.325429916381836,110100,25,3,12,3,1993
1993-03-26,25.307914048993265,25.32544030525988,25.16770399886034,25.185230255126953,101500,26,4,12,3,1993
1993-03-29,25.20276442783538,25.413079569096872,25.20276442783538,25.290395736694336,87100,29,0,13,3,1993
1993-03-30,25.325423051508526,25.360475540161133,25.29037056285592,25.360475540161133,56000,30,1,13,3,1993
1993-03-31,25.430593531491184,25.500698544672414,25.34296226501465,25.34296226501465,111600,31,2,13,3,1993
1993-04-01,25.37801672930853,25.37801672930853,25.202754182835406,25.255332946777344,129500,1,3,13,4,1993
1993-04-02,25.045018180560593,25.045018180560593,24.72954559326172,24.72954559326172,59400,2,4,13,4,1993
1993-04-05,24.92233126792316,24.92233126792316,24.78212124672528,24.85222625732422,172200,5,0,14,4,1993
1993-04-06,24.904799678538108,24.904799678538108,24.712010940702836,24.782115936279297,129700,6,1,14,4,1993
