"Date","Price","Open","High","Low","Vol.","Change %"
"10/20/2020","343.38","343.46","346.88","342.64","60.05M","0.40%"
"10/19/2020","342.01","348.65","349.33","341.04","68.43M","-1.52%"
"10/16/2020","347.29","348.96","350.75","347.10","89.50M","-0.06%"
"10/15/2020","347.50","343.71","348.02","343.13","60.36M","-0.12%"
"10/14/2020","347.93","350.75","351.93","347.14","57.96M","-0.63%"
"10/13/2020","350.13","352.28","352.47","349.09","73.26M","-0.65%"
"10/12/2020","352.43","349.59","354.02","349.06","80.39M","1.61%"
"10/09/2020","346.85","345.56","347.35","344.89","59.53M","0.89%"
"10/08/2020","343.78","342.85","343.85","341.86","45.24M","0.89%"
"10/07/2020","340.76","338.12","341.63","338.09","57.00M","1.74%"
"10/06/2020","334.93","339.91","342.17","334.38","90.13M","-1.42%"
"10/05/2020","339.76","336.06","339.96","336.01","45.71M","1.77%"
"10/02/2020","333.84","331.70","337.01","331.19","89.43M","-0.95%"
"10/01/2020","337.04","337.69","338.74","335.01","88.70M","0.64%"
"09/30/2020","334.89","333.09","338.29","332.88","104.08M","0.76%"
"09/29/2020","332.37","333.97","334.77","331.62","51.53M","-0.54%"
"09/28/2020","334.19","333.22","334.96","332.15","64.58M","1.66%"
"09/25/2020","328.73","322.58","329.58","321.64","71.07M","1.62%"
"09/24/2020","323.50","321.22","326.80","319.80","76.68M","0.27%"
"09/23/2020","322.64","330.90","331.20","322.10","93.11M","-2.32%"
"09/22/2020","330.30","328.57","330.90","325.86","63.61M","1.02%"
"09/21/2020","326.97","325.70","327.13","321.73","99.45M","-1.11%"
"09/18/2020","330.65","335.37","335.49","327.97","105.88M","-1.55%"
"09/17/2020","335.84","333.56","337.70","332.99","91.52M","-0.88%"
"09/16/2020","338.82","341.51","343.06","338.52","82.21M","-0.40%"
"09/15/2020","340.17","341.12","342.02","338.47","52.92M","0.51%"
"09/14/2020","338.46","337.49","340.38","334.22","65.61M","1.32%"
"09/11/2020","334.06","335.82","336.97","331.00","84.68M","0.05%"
"09/10/2020","333.89","341.82","342.53","332.85","90.57M","-1.74%"
"09/09/2020","339.79","337.55","342.46","336.61","91.46M","1.97%"
"09/08/2020","333.21","336.71","342.64","332.88","114.47M","-2.73%"
"09/04/2020","342.57","346.13","347.83","334.87","139.16M","-0.82%"
"09/03/2020","345.39","355.87","356.38","342.59","148.01M","-3.44%"
"09/02/2020","357.70","354.67","358.75","353.43","69.54M","1.45%"
"09/01/2020","352.60","350.21","352.71","349.24","55.00M","0.94%"
"08/31/2020","349.31","350.35","351.30","349.06","66.10M","-0.36%"
"08/28/2020","350.58","349.44","350.72","348.15","48.59M","0.65%"
"08/27/2020","348.33","348.51","349.90","346.53","58.03M","0.22%"
"08/26/2020","347.57","344.76","347.86","344.17","50.79M","1.00%"
"08/25/2020","344.12","343.53","344.21","342.27","38.46M","0.35%"
"08/24/2020","342.92","342.12","343.00","339.45","48.59M","1.01%"
"08/21/2020","339.48","337.92","339.72","337.55","55.11M","0.35%"
"08/20/2020","338.28","335.36","338.80","335.22","42.21M","0.31%"
"08/19/2020","337.23","339.05","339.61","336.62","68.05M","-0.42%"
"08/18/2020","338.64","338.34","339.10","336.61","38.73M","0.22%"
"08/17/2020","337.91","337.94","338.34","336.85","35.48M","0.32%"
"08/14/2020","336.84","336.41","337.42","335.62","47.26M","0.00%"
"08/13/2020","336.83","336.61","338.25","335.83","41.82M","-0.18%"
"08/12/2020","337.44","335.44","338.28","332.84","53.83M","1.39%"
"08/11/2020","332.80","336.85","337.54","332.01","69.60M","-0.83%"
"08/10/2020","335.57","335.06","335.77","332.95","44.28M","0.30%"
"08/07/2020","334.57","333.28","334.88","332.30","57.31M","0.07%"
"08/06/2020","334.33","331.48","334.46","331.13","43.68M","0.67%"
"08/05/2020","332.11","331.47","332.39","331.18","42.87M","0.62%"
"08/04/2020","330.06","327.86","330.06","327.86","41.92M","0.39%"
"08/03/2020","328.79","328.32","329.62","327.73","53.08M","0.70%"
"07/31/2020","326.52","325.90","326.63","321.33","85.21M","0.79%"
"07/30/2020","323.96","321.90","324.41","319.64","61.86M","-0.36%"
"07/29/2020","325.12","322.12","325.73","322.07","48.45M","1.23%"
"07/28/2020","321.17","322.43","323.64","320.85","57.49M","-0.63%"
"07/27/2020","323.22","321.63","323.41","320.77","48.29M","0.73%"
"07/24/2020","320.88","320.95","321.99","319.25","73.77M","-0.64%"
"07/23/2020","322.96","326.47","327.23","321.48","75.74M","-1.19%"
"07/22/2020","326.86","324.62","327.20","324.50","57.79M","0.57%"
"07/21/2020","325.01","326.45","326.93","323.94","57.50M","0.21%"
"07/20/2020","324.32","321.43","325.13","320.62","56.31M","0.81%"
"07/17/2020","321.72","321.88","322.57","319.74","62.77M","0.29%"
"07/16/2020","320.79","319.79","321.28","319.09","54.62M","-0.33%"
"07/15/2020","321.85","322.41","323.04","319.26","87.20M","0.92%"
"07/14/2020","318.92","313.30","319.76","312.00","93.66M","1.30%"
"07/13/2020","314.84","320.13","322.71","314.13","103.00M","-0.87%"
"07/10/2020","317.59","314.31","317.88","312.76","57.55M","1.02%"
"07/09/2020","314.38","316.84","317.10","310.68","83.35M","-0.57%"
