"Date","Price","Open","High","Low","Vol.","Change %"
"10/08/2020","2,846.39","2,850.65","2,859.87","2,837.05","","0.13%"
"10/07/2020","2,842.58","2,883.58","2,888.20","2,838.45","","-1.74%"
"10/06/2020","2,892.99","2,885.38","2,906.65","2,883.69","","0.38%"
"10/05/2020","2,881.98","2,860.53","2,882.94","2,845.63","","1.04%"
"10/02/2020","2,852.42","2,840.72","2,859.01","2,824.69","","-1.29%"
"10/01/2020","2,889.80","2,911.08","2,919.25","2,882.81","","-0.55%"
"09/30/2020","2,905.81","2,908.55","2,920.03","2,893.80","","-0.15%"
"09/29/2020","2,910.12","2,935.77","2,947.75","2,889.22","","-0.58%"
"09/28/2020","2,927.17","2,909.62","2,938.94","2,909.62","","1.05%"
"09/25/2020","2,896.83","2,912.83","2,912.83","2,870.16","","-0.55%"
"09/24/2020","2,912.76","2,905.55","2,920.46","2,880.39","","-0.12%"
"09/23/2020","2,916.39","2,933.33","2,968.55","2,916.27","","1.10%"
"09/22/2020","2,884.66","2,874.00","2,907.98","2,868.38","","0.73%"
"09/21/2020","2,863.67","2,946.18","2,946.18","2,857.78","","-2.99%"
"09/18/2020","2,951.79","2,976.10","2,977.13","2,944.22","","-0.67%"
"09/17/2020","2,971.74","2,947.54","2,974.54","2,945.78","","-0.11%"
"09/16/2020","2,975.01","2,982.49","2,990.74","2,960.68","","-0.19%"
"09/15/2020","2,980.58","2,936.42","2,982.20","2,932.36","","1.78%"
"09/14/2020","2,928.38","2,918.29","2,938.24","2,918.29","","0.61%"
"09/11/2020","2,910.51","2,888.92","2,911.71","2,874.47","","0.45%"
"09/10/2020","2,897.55","2,888.09","2,897.55","2,858.65","","0.75%"
"09/09/2020","2,876.07","2,880.83","2,899.17","2,872.92","","-0.44%"
"09/08/2020","2,888.79","2,937.18","2,948.88","2,875.96","","-1.48%"
"09/07/2020","2,932.29","2,929.38","2,947.17","2,925.55","","0.37%"
"09/04/2020","2,921.55","2,920.22","2,944.66","2,910.39","","-0.35%"
"09/03/2020","2,931.92","2,954.62","2,967.61","2,917.24","","-0.83%"
"09/02/2020","2,956.50","2,989.76","3,002.25","2,946.29","","-0.62%"
"09/01/2020","2,975.00","2,976.07","2,993.28","2,967.96","","0.30%"
"08/31/2020","2,966.20","2,993.02","3,012.44","2,962.06","","-0.47%"
"08/28/2020","2,980.17","3,015.70","3,015.70","2,976.34","","-1.06%"
"08/27/2020","3,012.01","3,051.20","3,056.25","3,002.10","","-1.31%"
"08/26/2020","3,051.97","3,041.19","3,053.90","3,024.04","","0.76%"
"08/25/2020","3,029.05","3,042.58","3,051.27","3,020.46","","-0.01%"
"08/24/2020","3,029.42","3,005.86","3,036.63","3,005.86","","1.13%"
"08/21/2020","2,995.61","3,013.40","3,024.71","2,973.11","","0.06%"
"08/20/2020","2,993.69","3,044.92","3,044.92","2,993.69","","-2.06%"
"08/19/2020","3,056.54","3,048.22","3,073.84","3,041.43","","0.19%"
"08/18/2020","3,050.70","3,056.72","3,073.85","3,048.31","","-0.68%"
"08/17/2020","3,071.68","3,070.81","3,072.12","3,070.08","","0.32%"
"08/14/2020","3,061.99","3,075.96","3,075.96","3,044.71","","-0.60%"
"08/13/2020","3,080.44","3,057.63","3,081.15","3,047.74","","0.87%"
"08/12/2020","3,053.99","2,990.90","3,053.99","2,985.25","","1.61%"
"08/11/2020","3,005.63","2,959.29","3,012.58","2,959.29","","1.51%"
"08/10/2020","2,960.78","2,976.49","2,998.78","2,960.78","","-0.39%"
"08/07/2020","2,972.35","2,992.26","2,994.46","2,968.48","","-0.54%"
"08/06/2020","2,988.50","2,998.53","3,004.83","2,981.79","","-0.14%"
"08/05/2020","2,992.78","2,954.41","2,994.08","2,952.15","","1.78%"
"08/04/2020","2,940.46","2,934.91","2,942.06","2,923.36","","0.36%"
"08/03/2020","2,929.97","2,917.68","2,942.77","2,911.19","","0.63%"
"07/31/2020","2,911.57","2,902.81","2,917.69","2,899.58","","1.00%"
"07/30/2020","2,882.63","2,915.94","2,919.35","2,869.99","","-1.23%"
"07/29/2020","2,918.42","2,893.54","2,918.42","2,889.69","","0.79%"
"07/28/2020","2,895.45","2,891.34","2,907.03","2,877.40","","0.37%"
"07/27/2020","2,884.88","2,869.69","2,896.28","2,869.69","","0.76%"
"07/24/2020","2,863.12","2,835.15","2,863.12","2,822.26","","0.40%"
"07/23/2020","2,851.79","2,848.41","2,866.78","2,843.93","","0.60%"
"07/22/2020","2,834.65","2,824.50","2,844.12","2,815.03","","0.32%"
"07/21/2020","2,825.71","2,814.99","2,849.18","2,813.40","","0.84%"
"07/20/2020","2,802.24","2,771.85","2,802.24","2,758.69","","0.99%"
"07/17/2020","2,774.79","2,757.04","2,774.79","2,752.51","","0.54%"
"07/16/2020","2,760.01","2,741.68","2,762.68","2,734.30","","0.44%"
"07/15/2020","2,747.91","2,728.59","2,763.20","2,724.35","","0.12%"
"07/14/2020","2,744.54","2,751.98","2,752.09","2,703.35","","-0.80%"
"07/13/2020","2,766.79","2,805.52","2,818.10","2,765.09","","-1.22%"
"07/10/2020","2,800.94","2,768.67","2,800.94","2,765.49","","0.67%"
"07/09/2020","2,782.43","2,805.85","2,810.74","2,773.48","","-1.19%"
"07/08/2020","2,815.83","2,815.52","2,823.00","2,806.50","","-0.33%"
"07/07/2020","2,825.21","2,829.33","2,835.76","2,814.40","","-0.35%"
"07/06/2020","2,835.18","2,825.88","2,855.94","2,825.51","","1.20%"
"07/03/2020","2,801.66","2,789.27","2,803.32","2,782.65","","0.46%"
"07/02/2020","2,788.79","2,762.56","2,789.92","2,758.92","","1.66%"
"06/30/2020","2,743.20","2,770.69","2,778.09","2,743.20","","-0.89%"
"06/29/2020","2,767.95","2,749.54","2,767.95","2,737.86","","0.22%"
"06/26/2020","2,761.74","2,780.02","2,784.89","2,746.78","","0.04%"
"06/25/2020","2,760.75","2,750.08","2,771.60","2,740.02","","-1.12%"
"06/23/2020","2,791.97","2,773.33","2,794.43","2,767.46","","1.04%"
"06/22/2020","2,763.29","2,754.42","2,763.29","2,726.65","","0.17%"
"06/19/2020","2,758.67","2,739.04","2,769.86","2,738.45","","1.26%"
"06/18/2020","2,724.33","2,734.84","2,738.04","2,700.54","","-0.58%"
"06/17/2020","2,740.10","2,758.97","2,771.26","2,733.90","","-0.30%"
"06/16/2020","2,748.30","2,745.49","2,779.71","2,741.84","","1.08%"
"06/15/2020","2,719.06","2,705.64","2,720.40","2,670.41","","-0.90%"
"06/11/2020","2,743.80","2,756.98","2,758.83","2,726.15","","-1.49%"
"06/10/2020","2,785.18","2,795.10","2,803.35","2,768.30","","-0.38%"
"06/09/2020","2,795.90","2,804.36","2,813.48","2,765.15","","-0.01%"
"06/08/2020","2,796.30","2,806.81","2,825.31","2,782.92","","0.13%"
"06/05/2020","2,792.74","2,780.32","2,800.81","2,769.51","","0.96%"
"06/04/2020","2,766.26","2,822.59","2,825.48","2,757.61","","-2.29%"
"06/03/2020","2,831.08","2,812.82","2,835.06","2,792.24","","1.24%"
"06/02/2020","2,796.51","2,760.63","2,796.52","2,754.85","","1.68%"
"06/01/2020","2,750.24","2,761.23","2,773.56","2,733.28","","0.56%"
"05/29/2020","2,734.83","2,766.62","2,766.62","2,717.80","","-1.62%"
"05/28/2020","2,779.98","2,748.03","2,781.25","2,737.94","","1.42%"
"05/27/2020","2,741.02","2,748.25","2,780.05","2,711.90","","-0.47%"
"05/26/2020","2,754.04","2,777.72","2,796.85","2,750.51","","-0.14%"
"05/25/2020","2,757.93","2,718.72","2,757.93","2,718.72","","1.79%"
"05/22/2020","2,709.38","2,691.58","2,718.48","2,687.18","","-0.34%"
"05/21/2020","2,718.67","2,767.97","2,794.60","2,702.67","","-1.88%"
"05/20/2020","2,770.79","2,706.07","2,771.27","2,700.64","","2.18%"
"05/19/2020","2,711.72","2,702.34","2,720.06","2,683.81","","0.65%"
"05/18/2020","2,694.25","2,623.61","2,694.25","2,623.61","","3.87%"
"05/15/2020","2,593.91","2,616.14","2,633.29","2,593.91","","0.14%"
"05/14/2020","2,590.31","2,596.13","2,606.95","2,564.44","","-0.56%"
"05/13/2020","2,604.98","2,630.79","2,630.79","2,601.25","","-1.40%"
"05/12/2020","2,642.04","2,635.51","2,651.97","2,620.35","","0.02%"
"05/08/2020","2,641.55","2,647.80","2,648.45","2,613.83","","0.29%"
"05/07/2020","2,634.00","2,632.87","2,664.99","2,627.43","","0.07%"
"05/06/2020","2,632.10","2,659.08","2,674.94","2,626.68","","-0.81%"
"05/05/2020","2,653.51","2,652.92","2,666.38","2,634.49","","1.10%"
"05/04/2020","2,624.64","2,623.89","2,641.03","2,599.74","","-0.98%"
"04/30/2020","2,650.56","2,683.86","2,700.97","2,629.57","","-0.47%"
"04/29/2020","2,663.14","2,629.24","2,669.47","2,617.34","","1.95%"
"04/28/2020","2,612.24","2,567.74","2,644.79","2,566.92","","1.61%"
"04/27/2020","2,570.91","2,570.69","2,597.64","2,557.81","","0.35%"
