"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2020","1,793.50","1,787.90","1,799.00","1,779.20","184.65K","0.20%"
"07/02/2020","1,790.00","1,779.00","1,791.70","1,766.30","186.31K","0.57%"
"07/01/2020","1,779.90","1,798.90","1,807.70","1,767.90","263.25K","-1.14%"
"06/30/2020","1,800.50","1,784.20","1,804.00","1,774.80","199.42K","1.08%"
"06/29/2020","1,781.20","1,789.20","1,790.40","1,776.50","130.51K","0.45%"
"06/26/2020","1,773.30","1,768.20","1,778.50","1,748.40","0.64K","0.58%"
"06/25/2020","1,763.10","1,760.70","1,771.70","1,760.40","0.48K","-0.28%"
"06/24/2020","1,768.10","1,777.30","1,786.30","1,765.00","1.71K","-0.34%"
"06/23/2020","1,774.10","1,759.30","1,777.60","1,751.70","1.03K","0.89%"
"06/22/2020","1,758.40","1,755.50","1,771.00","1,747.40","1.91K","0.65%"
"06/19/2020","1,747.10","1,726.30","1,753.50","1,726.30","1.87K","1.22%"
"06/18/2020","1,726.00","1,730.70","1,742.10","1,717.60","0.26K","-0.25%"
"06/17/2020","1,730.30","1,730.60","1,733.80","1,714.40","0.36K","-0.07%"
"06/16/2020","1,731.50","1,729.00","1,735.50","1,718.90","0.37K","0.56%"
"06/15/2020","1,721.80","1,733.20","1,736.20","1,701.00","0.65K","-0.59%"
"06/12/2020","1,732.00","1,729.70","1,746.90","1,724.10","0.59K","-0.16%"
"06/11/2020","1,734.70","1,741.20","1,749.40","1,722.60","0.76K","1.12%"
"06/10/2020","1,715.50","1,715.10","1,743.60","1,709.00","1.15K","-0.09%"
"06/09/2020","1,717.00","1,699.20","1,724.10","1,694.40","0.62K","1.01%"
"06/08/2020","1,699.90","1,682.00","1,702.60","1,675.80","0.75K","1.27%"
"06/05/2020","1,678.50","1,715.00","1,717.20","1,669.10","1.10K","-2.51%"
"06/04/2020","1,721.80","1,699.60","1,722.60","1,695.50","1.10K","1.22%"
"06/03/2020","1,701.00","1,729.70","1,729.80","1,686.90","1.72K","-1.61%"
